[22Sep2026 20:38:57.807] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "alltheleaks-1.1.11+1.21.1-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.810] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.811] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "azimuth-1.4.7.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.814] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "backpacked-neoforge-1.21.1-3.0.5.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.816] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "baguettelib-1.21.1-NeoForge-2.0.3.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.818] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ballastmod-0.1.0.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.820] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "barehanded-neoforge-1.21.1-1.6.6.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.823] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better-clouds-1.13.6+1.21.1-neoforge.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.825] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better_contraption_diagram-1.2.2.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.827] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterF3-11.0.3-NeoForge-1.21.1.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
[22Sep2026 20:38:57.830] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found gamelibrary file "bits_n_bobs-2.2.7.jar" [locator: {mods folder locator at D:\MINECRAFT\instances\aeronautica 6.0\minecraft\mods}, reader: mod manifest]
